tweet_id,text,user_id,username,user_name,user_bio,followers_count,user_location,statuses_count,profile_url,created_at,retweet_count,favorite_count,reply_count,is_reply,tweet_url,search_phrase,matched_phrase,matched_keyword,match_distance,diagnosis,medications_found
1523265476373192705,"بديت اتعايش مع صيغة المذكر 
Wich is sad",716199285021388800,hutlesshute,?,,89,Kingdom of Saudi Arabia,2763,https://twitter.com/hutlesshute,Sun May 08 11:36:05 +0000 2022,0,0,0,False,https://twitter.com/hutlesshute/status/1523265476373192705,"""أتعايش مع SAD""",اتعايش مع,SAD,22,depression,
1493673500908961812,"اقدر اتعايش مع كسر قلبي بس جوالي لا 💔😞 

#sad 
#bad_luck https://t.co/kR7F1a0JG9",1443398921213169668,Hish_Th7,Eng.Hisham,👨🏽‍💻 ♐️,33,المملكة العربية السعودية,403,https://twitter.com/Hish_Th7,Tue Feb 15 19:48:08 +0000 2022,0,0,1,False,https://twitter.com/Hish_Th7/status/1493673500908961812,"""أتعايش مع SAD""",اتعايش مع,SAD,28,depression,
1270299946126921734,أنا لاحظت إني عمري ما ب-get over anything وأ-موڤ اون خالص وإني عايشة بكل الحاجات اللي حصلت في حياتي عامًة ولسه بتأثر فيا كل يوم زي اليوم اللي قبله، الفرق إني قررت أتعايش مع الحاجات بس، which is quite sad بصراحة,2170450940,Mirrnae,mirna,"sugar, spice & everything nice🍦- 👽",31488,,71376,https://twitter.com/Mirrnae,Tue Jun 09 10:21:22 +0000 2020,5,13,2,False,https://twitter.com/Mirrnae/status/1270299946126921734,"""أتعايش مع SAD""",أتعايش مع,SAD,28,depression,
1047531337782112259,مافي ولا سبب يخليني اتعايش مع دا الشيء بس انا  sad مره وبدون سبب,1032209493092982784,iiliir8,%,هاربه من كل شيء وجايه هنا,13,,1034,https://twitter.com/iiliir8,Wed Oct 03 16:58:27 +0000 2018,0,0,0,False,https://twitter.com/iiliir8/status/1047531337782112259,"""أتعايش مع SAD""",اتعايش مع,SAD,18,depression,
1991135609847497182,رغم كل شي فيني آيل للسقوط بس على الاقل بدأت اتعايش مع My depression..,742277028058128384,A______n5,billlly,,1042,❤️‍🩹,12735,https://twitter.com/A______n5,Wed Nov 19 13:24:57 +0000 2025,0,2,0,False,https://twitter.com/A______n5/status/1991135609847497182,"""أتعايش مع depression""",اتعايش مع,depression,4,depression,
1990552490232930616,بحس مش لازم نشتغل و ن-exist ف الشتا و بالذات ف بدايته، ما تسيبوني اواجه و اتعايش مع  my seasonal depression ف صمت و هدوء,1695455090,Shahdlsharkawy,'Shahd,𓂀 • ♉︎ • i write what i see through you. 🌒 • 𝘳𝘦𝘣𝘦𝘭𝘭𝘪𝘰𝘶𝘴 • 𝘥𝘦𝘭𝘪𝘤𝘢𝘵𝘦 • 🤍🌵🕊️🩶✨,2615,Cairo // Riyadh ,56869,https://twitter.com/Shahdlsharkawy,Mon Nov 17 22:47:51 +0000 2025,0,0,0,False,https://twitter.com/Shahdlsharkawy/status/1990552490232930616,"""أتعايش مع depression""",اتعايش مع,depression,14,depression,
1510366119604928517,مؤخرا بقى عندي هوس ترتيب وتنضيف، رغم اني فالعادي، مبحركش أي حاجة من مكانها وعادي جدا اتعايش مع ال depression room لشهور. معرفش فيه ايه بس الموضوع ده مش سيء البتة.,1079801905897967618,Mennx_z,ᴍᴇɴɴᴀ ᴀᴄᴋᴇʀᴍᴀɴ,"An Engineer w cats⁵. Sometimes I take photos. 

11. 
                                                                             insta: mmss._.z",251,in a Red bull's can,7460,https://twitter.com/Mennx_z,Sat Apr 02 21:18:38 +0000 2022,0,2,1,False,https://twitter.com/Mennx_z/status/1510366119604928517,"""أتعايش مع depression""",اتعايش مع,depression,4,depression,
1469262198417596421,الحمدلله بديت اتعايش مع ال depression,871857532364574720,spiicyyyyyy,s,"angel face, devil thoughts 🌋.",151,,1045,https://twitter.com/spiicyyyyyy,Fri Dec 10 11:06:20 +0000 2021,0,0,0,False,https://twitter.com/spiicyyyyyy/status/1469262198417596421,"""أتعايش مع depression""",اتعايش مع,depression,4,depression,
1290770544841850880,المفروض اني كل ما بخرج خروجة بحس اني خلصت شويه ماللي عليا بس اللي بيحصل انهم بيكتروا! بيتكاثروا حرفيا، اجيب منين صحة وطاقة -كشخص مائل لميول انتروفرتيه بالذات الفتره دي- وفلوس لكل الخروجات دي انا.. ادوني فرصه حتى اقعد مع نفسى اتعايش مع الpost-graduation depression انا حتى مش لاحقه,426596587,ShahdHany,Shahd 🇵🇸,i’m here to embarrass myself,2464,Egypt,24856,https://twitter.com/ShahdHany,Tue Aug 04 22:04:13 +0000 2020,0,2,1,False,https://twitter.com/ShahdHany/status/1290770544841850880,"""أتعايش مع depression""",اتعايش مع,depression,19,depression,
1055542210177970188,@Aseel_aldam عطيهم فرصة على الاقل ، مباشرة الموت الرحيم 😂😂💔.. يعتمد على الناس اللي حولهم ، جربت اتعايش مع ناس فيهم اكتئاب  حاد .,1041795680610738177,5mrr_i,بُرَداء,في الأَعوامِ العِشرينيّة.. يا كِتابَ الهَوى ولَم أزل في الصْفحَة الأولى!,539,,4367,https://twitter.com/5mrr_i,Thu Oct 25 19:30:48 +0000 2018,0,0,0,False,https://twitter.com/5mrr_i/status/1055542210177970188,"""أتعايش مع أكتئاب حاد""",اتعايش مع,اكتئاب,10,depression,
863350203465728000,انا حالياً اتعايش مع اكتئاب حاد بسبب الاختبارات,770870072885772288,f3tm3x,FAT..,Cancer ♋️,25,00:00,81,https://twitter.com/f3tm3x,Sat May 13 11:08:23 +0000 2017,0,0,0,False,https://twitter.com/f3tm3x/status/863350203465728000,"""أتعايش مع أكتئاب حاد""",اتعايش مع,اكتئاب حاد,1,depression,
1709514372622569815,@may_nossair بعد وفاة ابني فضلت سنةَ عندي اكتئاب شديد والله العظيم ماكنت بنام ليل ولا نهار فقدت كل أنواع الشغف لكن بفضل الله والصلاة المستمرة وبعد ثلاث سنوات الحمدلله بدأت اتعايش علشان اقدر أكمل مع إبني الصغير لأنه في سن محتاج ام,4706872084,S_gzr3,الحمدلله,✍️فليشهد اللَّه أني أخاف أنْ أؤذي أحدًا ، فإنْ فعلتها فواللَّه ما كانت إلا سَهوًا.🤎,3555,أم الدنيا ,14592,https://twitter.com/S_gzr3,Wed Oct 04 10:22:42 +0000 2023,0,3,1,False,https://twitter.com/S_gzr3/status/1709514372622569815,"""أتعايش مع أكتئاب شديد""",عندي,اكتئاب شديد,1,depression,
1709042989098471825,@10mfq10 انا لاني طيبه ولا احب الشر والحقد مو قادرة اتعايش مع المجتمع الي انا فيه وحايسني اكتئاب شديد مااحب المشاكل والمؤامرات والتسلط مره تعبانه,1349200686601428994,Om_snd440,عاشقة للملكي 💚 doodii,من تواضع لله رفعه,66,"جدة, المملكة العربية السعودية",2693,https://twitter.com/Om_snd440,Tue Oct 03 03:09:35 +0000 2023,0,0,0,False,https://twitter.com/Om_snd440/status/1709042989098471825,"""أتعايش مع أكتئاب شديد""",اتعايش مع,اكتئاب شديد,29,depression,
1540767472193789955,@Alyousef8 دكتور مع كل احترامي لك.. كنت اعاني من اكتئاب شديد ( متأثرة كيميائية الدماغ) واحتجت اتعايش مع النوبات مدة سنة ونص مع الادوية وليس بدونها! حتى تركتها بالتدريج لقلةفعاليتها بنظري ( بعد نوبة وانهيار مايسمى acute psychosis),294076553,Sara_physio,Sara Hassan,Physiotherapist👩🏼‍⚕️💪🏼Mother of two 👼 very spiritual ✨charming 💕energetic 💥and friendly👥,405,,12177,https://twitter.com/Sara_physio,Sat Jun 25 18:42:46 +0000 2022,0,0,1,False,https://twitter.com/Sara_physio/status/1540767472193789955,"""أتعايش مع أكتئاب شديد""",اعاني من,اكتئاب شديد,1,depression,
1315813855205916672,@BGh92311124 @vcvczo جاني اكتئاب شديد واضطراب مابعد الصدمة .. وللان احاول اتعايش مع الحياة,754893430950596609,RiskMgt22,روح 🦋,,16,,210,https://twitter.com/RiskMgt22,Tue Oct 13 00:37:24 +0000 2020,0,0,0,False,https://twitter.com/RiskMgt22/status/1315813855205916672,"""أتعايش مع أكتئاب شديد""",جاني,اكتئاب شديد,1,depression,
2004564811133427969,"احسني بطريق ضبابي مجهول الوجهة 
ولاني شخص واضح ويحب كل شيء مخطط ومرسوم وباين ماقدر اتعايش مع المجهول يجيني اكتئاب على طول 💔",1437442664618676225,Lee7_8,Leen 林欣雅,Lorcey’s mother💖#تبنى_لا_تشتري 我热爱学习中文和日语,1747,活在自己的世界里,17918,https://twitter.com/Lee7_8,Fri Dec 26 14:47:48 +0000 2025,0,4,0,False,https://twitter.com/Lee7_8/status/2004564811133427969,"""أتعايش مع أكتئاب""",اتعايش مع,اكتئاب,15,depression,
